Open,High,Low,Close,Volume,Returns,ma_10,ma_20,volatility_10,Adj Close
19.0,25.0,17.540001,23.889999,18766300,0.0,0.0,0.0,0.0,23.889999
25.790001,30.42,23.299999,23.83,17187100,-0.002511469339115502,0.0,0.0,0.0,23.83
25.0,25.92,20.27,21.959999,8218800,-0.07847255560218203,0.0,0.0,0.0,21.959999
23.0,23.1,18.709999,19.200001,5139800,-0.12568297475787682,0.0,0.0,0.0,19.200001
20.0,20.0,15.83,16.110001,6866900,-0.160937491617839,0.0,0.0,0.0,16.110001
16.4,16.629999,14.98,15.8,6921700,-0.019242767272329764,0.0,0.0,0.0,15.8
16.139999,17.52,15.57,17.459999,7711400,0.10506322784810118,0.0,0.0,0.0,17.459999
17.58,17.9,16.549999,17.4,4050600,-0.0034363690398837576,0.0,0.0,0.0,17.4
17.950001,18.07,17.0,17.049999,2202500,-0.020114999999999883,0.0,0.0,0.0,17.049999
17.389999,18.639999,16.9,18.139999,2680100,0.06392962251786649,19.0839997,0.0,0.08023967245018471,18.139999
17.940001,20.15,17.76,19.84,4195200,0.09371560604826934,18.6789998,0.0,0.08842743188844317,19.84
19.940001,21.5,19.0,19.889999,3739800,0.0025201108870966937,18.2849997,0.0,0.08851919514569219,19.889999
20.700001,21.299999,20.049999,20.639999,2621300,0.037707392544363616,18.1529997,0.0,0.0867626213415669,20.639999
21.370001,22.25,20.92,21.91,2486500,0.061531059182706294,18.4239996,0.0,0.07690265023335263,21.91
21.85,21.85,20.049999,20.299999,1825300,-0.0734824737562757,18.8429994,0.0,0.056909962945872396,20.299999
20.66,20.9,19.5,20.219999,1252500,-0.003940886893639695,19.284999300000003,0.0,0.055788261106512374,20.219999
20.5,21.25,20.370001,21.0,957800,0.038575719019570576,19.6389994,0.0,0.048901835056817985,21.0
21.190001,21.559999,21.059999,21.290001,653600,0.013809571428571532,20.0279995,0.0,0.048295562354896106,21.290001
21.5,21.5,20.299999,20.950001,922200,-0.015969938188354238,20.417999700000003,0.0,0.04791571667377048,20.950001
20.91,21.18,20.26,20.549999,619700,-0.019093173312974998,20.658999700000003,19.8714997,0.04699631546474439,20.549999
20.549999,20.9,20.51,20.719999,467200,0.008272506485280218,20.746999600000002,19.7129997,0.03763418621147323,20.719999
20.77,20.879999,20.0,20.35,616000,-0.017857095456423555,20.7929997,19.5389997,0.03832822562385078,20.35
20.200001,20.440001,19.549999,19.940001,426900,-0.020147371007371184,20.7229999,19.4379998,0.03683714962074852,19.940001
20.5,20.969999,20.33,20.92,718100,0.04914738971176602,20.6239999,19.52399975,0.03457157269429049,20.92
21.0,21.950001,20.82,21.950001,1230500,0.04923522944550651,20.7890001,19.81599975,0.028428830349298693,21.950001
21.950001,22.18,20.85,21.26,913000,-0.03143512385261393,20.8930002,20.08899975,0.030951413272100985,21.26
21.540001,21.549999,20.049999,20.450001,796200,-0.03809967074317977,20.838000299999997,20.23849985,0.031329498391076314,20.450001
20.1,20.16,19.52,19.59,741900,-0.04205383657438455,20.6680002,20.34799985,0.0330861651139317,19.59
19.9,19.98,19.450001,19.6,812700,0.0005104645227158588,20.5330001,20.4754999,0.033044428059518786,19.6
19.65,19.65,18.82,19.030001,1281300,-0.029081581632653175,20.3810003,20.520000000000003,0.03362492724336998,19.030001
18.690001,18.879999,17.85,17.9,797600,-0.059379975860222034,20.0990004,20.423,0.036829983926692,17.9
17.799999,17.9,17.389999,17.6,691000,-0.016759776536312665,19.8240004,20.30850005,0.03681857051052995,17.6
18.18,18.450001,17.66,18.32,634000,0.040909090909090784,19.662000300000003,20.1925001,0.04052606180877599,18.32
18.450001,18.799999,18.26,18.780001,485800,0.025109224890829562,19.4480004,20.03600015,0.03736940801907289,18.780001
18.959999,19.4,18.780001,19.15,447900,0.019701756139416604,19.1680003,19.978500200000003,0.033079424735783826,19.15
19.59,19.59,18.6,18.77,601300,-0.01984334203655347,18.9190003,19.906000249999998,0.03256296292169063,18.77
18.540001,19.25,18.33,18.790001,579100,0.001065583377730439,18.753000300000004,19.7955003,0.031395884581863466,18.790001
18.65,19.110001,18.51,19.1,296000,0.01649808320925583,18.7040003,19.68600025,0.029752486047491346,19.1
19.09,20.389999,19.0,20.129999,1088100,0.05392664921465973,18.7570002,19.645000149999998,0.03466766886351374,20.129999
19.25,19.709999,18.950001,19.200001,673100,-0.04619960487827157,18.7740002,19.57750025,0.03679680242219258,19.200001
19.16,19.98,18.559999,19.9,503300,0.03645827935113122,18.9740002,19.5365003,0.031238729545547628,19.9
19.889999,20.27,19.6,19.75,433800,-0.007537688442211032,19.1890002,19.5065003,0.030451533184213755,19.75
19.75,19.870001,19.5,19.700001,379600,-0.0025315949367088475,19.3270003,19.4945003,0.028931240490269343,19.700001
19.700001,20.190001,19.610001,19.870001,732800,0.008629441186322584,19.4360003,19.44200035,0.02828940158155697,19.870001
19.66,19.790001,19.33,19.48,201100,-0.01962762860454803,19.4690003,19.3185003,0.028902686104053058,19.48
19.620001,20.690001,19.6,20.450001,494900,0.04979471252566725,19.637000399999998,19.27800035,0.03132069010300783,20.450001
20.370001,21.24,20.309999,21.059999,487100,0.02982875159761611,19.8640002,19.30850025,0.03182291454263355,21.059999
20.870001,21.299999,20.66,21.049999,434600,-0.0004748338307138944,20.0590001,19.381500199999998,0.03200395778609676,21.049999
20.610001,21.0,20.5,20.540001,243400,-0.024227934642657156,20.100000299999998,19.428500250000003,0.02959897546396588,20.540001
20.66,20.950001,20.6,20.9,288400,0.017526727481658844,20.270000200000002,19.5220002,0.02436814791735848,20.9
